iter	Passed	Remaining
666	2750	1373
667	2754	1368
668	2757	1364
669	2761	1360
670	2765	1355
671	2768	1351
672	2772	1347
673	2775	1342
674	2779	1338
675	2782	1333
676	2786	1329
677	2789	1325
678	2794	1320
679	2797	1316
680	2801	1312
681	2804	1307
682	2808	1303
683	2812	1299
684	2816	1295
685	2819	1290
686	2823	1286
687	2827	1282
688	2831	1278
689	2835	1274
690	2839	1269
691	2844	1266
692	2847	1261
693	2851	1257
694	2855	1253
695	2858	1248
696	2862	1244
697	2866	1240
698	2870	1236
699	2874	1231
700	2877	1227
701	2882	1223
702	2886	1219
703	2890	1215
704	2895	1211
705	2898	1207
706	2903	1203
707	2907	1199
708	2911	1194
709	2916	1191
710	2920	1187
711	2924	1183
712	2928	1178
713	2932	1174
714	2937	1170
715	2941	1166
716	2944	1162
717	2949	1158
718	2953	1154
719	2957	1150
720	2961	1146
721	2965	1141
722	2969	1137
723	2973	1133
724	2976	1128
725	2981	1125
726	2984	1120
727	2989	1116
728	2993	1112
729	2998	1108
730	3002	1104
731	3006	1100
732	3010	1096
733	3015	1092
734	3019	1088
735	3023	1084
736	3027	1080
737	3030	1076
738	3035	1071
739	3038	1067
740	3042	1063
741	3047	1059
742	3050	1055
743	3054	1051
744	3059	1047
745	3063	1042
746	3067	1038
747	3070	1034
748	3074	1030
749	3078	1026
750	3081	1021
751	3086	1017
752	3090	1013
753	3093	1009
754	3099	1005
755	3101	1001
756	3106	997
757	3110	993
758	3114	988
759	3117	984
760	3121	980
761	3126	976
762	3129	972
763	3133	967
764	3137	963
765	3140	959
766	3144	955
767	3147	950
768	3152	946
769	3155	942
770	3159	938
771	3163	934
772	3166	929
773	3170	925
774	3173	921
775	3178	917
776	3182	913
777	3185	909
778	3189	904
779	3193	900
780	3198	896
781	3201	892
782	3205	888
783	3209	884
784	3212	879
785	3216	875
786	3220	871
787	3224	867
788	3227	863
789	3231	858
790	3234	854
791	3238	850
792	3242	846
793	3246	842
794	3250	838
795	3254	834
796	3258	829
797	3263	826
798	3267	821
799	3270	817
800	3274	813
801	3278	809
802	3282	805
803	3285	801
804	3289	796
805	3293	792
806	3297	788
807	3301	784
808	3304	780
809	3307	775
810	3311	771
811	3316	767
812	3319	763
813	3324	759
814	3328	755
815	3332	751
816	3336	747
817	3339	743
818	3344	739
819	3348	735
820	3352	730
821	3356	726
822	3359	722
823	3364	718
824	3368	714
825	3372	710
826	3377	706
827	3381	702
828	3385	698
829	3389	694
830	3394	690
831	3398	686
832	3402	682
833	3406	677
834	3409	673
835	3413	669
836	3417	665
837	3421	661
838	3425	657
839	3429	653
840	3433	649
841	3437	644
842	3441	640
843	3444	636
844	3449	632
845	3453	628
846	3456	624
847	3461	620
848	3466	616
849	3469	612
850	3473	608
851	3476	603
852	3481	599
853	3485	595
854	3489	591
855	3493	587
856	3497	583
857	3501	579
858	3505	575
859	3508	571
860	3513	567
861	3516	562
862	3520	558
863	3524	554
864	3527	550
865	3531	546
866	3535	542
867	3539	538
868	3542	533
869	3546	529
870	3551	525
871	3554	521
872	3558	517
873	3562	513
874	3566	509
875	3569	505
876	3574	501
877	3579	497
878	3583	493
879	3587	489
880	3592	485
881	3597	481
882	3600	477
883	3605	473
884	3609	469
885	3613	464
886	3617	460
887	3620	456
888	3625	452
889	3629	448
890	3633	444
891	3638	440
892	3642	436
893	3646	432
894	3650	428
895	3654	424
896	3659	420
897	3663	416
898	3667	412
899	3671	407
900	3674	403
901	3678	399
902	3682	395
903	3686	391
904	3691	387
905	3694	383
906	3699	379
907	3703	375
908	3706	371
909	3710	367
910	3713	362
911	3718	358
912	3722	354
913	3726	350
914	3730	346
915	3735	342
916	3738	338
917	3742	334
918	3745	330
919	3750	326
920	3754	322
921	3757	317
922	3761	313
923	3765	309
924	3769	305
925	3772	301
926	3777	297
927	3781	293
928	3784	289
929	3788	285
930	3791	281
931	3796	277
932	3800	272
933	3804	268
934	3807	264
935	3811	260
936	3815	256
937	3818	252
938	3822	248
939	3826	244
940	3830	240
941	3835	236
942	3839	232
943	3843	228
944	3847	223
945	3851	219
946	3856	215
947	3860	211
